Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
1,0.763,80.94795,38772,80899,72900,56870,44779,43574,75542,49052,41087,51433,62416,49320,63063,45424
2,0.785,90.97664,98249,221411,200024,128449,132733,132680,157693,156379,128725,143969,171326,147474,153647,122253
3,0.7,116.07057,11552,16884,29493,48961,21370,20746,32929,18832,11393,10969,26278,20968,50259,17275
4,0.786,120.08112,9925,21707,12829,14694,13546,13848,11051,17863,11672,8096,16194,17192,10497,18979
5,0.793,135.00345,12708,40709,38114,13326,16120,18743,18706,24166,22481,15121,18200,19483,27133,37802
6,6.089,135.08066,761937,968542,1023023,666388,791281,21982,696306,945100,636468,657530,844009,756240,860672,726379
7,0.778,136.04832,66832,70089,76725,35633,76761,52132,75794,111178,98712,99186,85472,50822,77578,86982
8,6.089,136.11278,90227,106460,113283,71264,85731,1184,80198,97451,63753,74127,90182,80428,90767,75862
9,0.804,162.11269,59396,62890,59086,31585,31562,71391,38835,74581,51215,72844,41733,50167,66727,66218
10,0.781,188.07088,32303,44546,30429,51029,44898,50233,27025,37721,46166,32037,47547,68944,49283,48388
11,0.699,198.09709,19510,24637,43822,29559,30991,26985,36263,31080,28100,29325,47742,33816,33673,20481
12,0.725,203.05304,84969,122276,163279,145805,135526,107535,156634,155010,121786,134812,155051,150390,134545,99853
13,0.781,226.95155,23742,53344,56506,38295,29895,30398,36954,28867,27868,32308,51462,36815,40059,30683
14,0.898,247.15373,83033,85810,40524,65776,78433,78631,73644,82115,72301,60907,55671,84748,49229,90184
15,0.901,269.13687,51334,58979,27688,39561,41349,35736,36322,45599,35585,32660,26363,45028,31391,51592
16,8.538,269.2269,32282,1334,30702,24003,29127,32,23173,434,1182,1196,674,26745,30284,1850
17,1.022,275.18539,374221,316828,178129,277861,418269,308806,484939,431345,177424,356859,309900,458585,271451,347388
18,1.129,289.20139,24642,21881,19162,24716,27475,23013,26539,31114,13534,22709,23593,30564,17585,28692
19,1.018,297.16727,161916,157078,79285,116370,185039,130742,189829,161216,82237,129077,124546,185851,118619,155011
20,9.945,298.2749,4468,3458,11528,3196,397913,8093,104409,3918,5222,2909,8240,12097,2591,13191
21,9.675,298.27512,116332,426302,182244,88892,397913,311231,567,153012,173220,123185,295456,181549,76256,405238
22,11.795,300.28986,8871,7358,233170,1792,427112,6664,126673,1844,9764,4653,7373,259884,5298,10245
