Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
1,0.763,80.94795,3402,6867,6022,5196,3967,3630,7032,4562,3603,4393,5263,4148,5810,3813
2,0.785,90.97664,8013,17047,16551,10678,10513,10649,12727,12779,9999,11026,14450,11811,12685,10081
3,0.7,116.07057,1161,1787,3321,5247,2064,1824,3896,2068,1158,1031,3025,2029,5695,1993
4,0.786,120.08112,700,1444,891,1034,976,978,793,1265,762,561,1094,1218,776,1344
5,0.793,135.00345,1007,3140,3062,1112,1235,1463,1513,2028,1719,1183,1506,1530,2306,3062
6,6.089,135.08066,60182,65259,64531,43768,46106,4662,43641,63980,39499,45522,54655,47044,56866,45317
7,0.778,136.04832,5145,5142,5782,2775,5810,3860,5961,8948,7449,7421,6672,4038,6074,6755
8,6.089,136.11278,7536,7276,7292,4638,5383,103,5232,7171,4231,5383,6092,5354,6102,4936
9,0.804,162.11269,4045,4189,3746,2152,2244,4808,2769,5127,3468,4834,2824,3258,4502,4501
10,0.781,188.07088,2124,2727,1974,3394,2756,3361,1920,2480,3040,1952,2975,4164,3131,3297
11,0.699,198.09709,1817,2274,4524,2993,3060,2378,3633,3083,2478,2546,5112,3417,3496,2164
12,0.725,203.05304,6630,9380,13027,11603,10479,7903,12856,13128,9557,10333,12640,12238,11482,7880
13,0.781,226.95155,2044,4154,4922,3303,2492,2649,3175,2409,2252,2607,4576,3154,3443,2719
14,0.898,247.15373,5570,5732,2526,4524,5339,4688,5030,5527,3944,4118,3684,5351,3427,5838
15,0.901,269.13687,3680,4097,1857,2556,2719,2465,2469,3106,2291,2211,1759,2812,2135,3510
16,8.538,269.2269,2586,182,2275,2111,2319,16,2047,73,368,238,94,2380,2415,247
17,1.022,275.18539,25784,21338,12039,18688,27956,20850,33008,29153,12409,24809,20136,29688,18142,22327
18,1.129,289.20139,1780,1515,1338,1600,1830,1668,1930,2123,1014,1631,1558,2086,1278,1984
19,1.018,297.16727,11345,10773,5272,7415,12851,9216,13068,11411,5677,9170,8495,12399,8266,10322
20,9.945,298.2749,898,506,1746,317,23302,816,6479,416,897,542,1190,1780,492,1466
21,9.675,298.27512,7572,25748,10448,5128,23302,17953,36,9529,10709,7294,16639,10360,5178,23211
22,11.795,300.28986,1091,983,14334,258,25662,916,7737,293,1518,725,847,16508,732,1418
23,11.554,300.29068,7890,30747,14334,4534,25662,23044,78,7414,10505,8532,22980,16508,4896,29164
24,11.541,301.21207,801,38,1285,663,1435,277,1764,931,579,1178,180,1446,1070,2856
25,5.867,301.23776,1403,286,2821,198,1791,173,1471,181,1555,169,69,1037,98,607
26,11.746,305.24509,9227,1082,19919,178,28800,983,10144,472,14828,516,1474,19528,650,6609
27,11.538,305.24545,9227,35708,19919,4638,28800,33286,90,9490,14828,10290,36636,19528,5066,37236
28,11.519,327.22662,1053,2955,2181,1087,2253,3819,18,1740,2164,1813,3233,2437,1401,3369
29,11.698,369.35123,1692,872,5474,1300,7293,673,3523,798,4159,1154,957,3788,989,1447
30,21.229,369.35172,41282,34050,33981,43103,59543,35704,38301,22564,54873,42117,43093,43666,42761,39491
31,16.022,369.35202,29350,17661,38167,35402,51627,36030,25396,43862,34966,38649,23033,30797,47742,38037
32,11.484,369.35266,4528,7544,5474,3320,7293,6040,66,3752,4159,3637,4513,3788,2999,5357
33,0.685,383.11575,1412,1766,3693,2706,2749,2092,2695,2957,2560,2334,3744,3486,3004,2216
34,7.995,400.34167,2758,3592,1607,2113,3064,3658,52,2196,1906,3699,3104,2016,2490,3872
35,8.238,400.34293,692,114,129,186,3064,379,3171,247,142,584,79,2016,283,657
36,5.63,403.23178,1792,209,1833,2255,1598,188,1842,2053,2227,1834,114,1816,1778,1906
37,5.919,404.30246,1272,339,1561,323,1304,221,1308,442,183,466,219,208,388,56
38,16.022,404.39008,2498,1666,2981,2664,3774,3023,2449,3364,2908,3109,2084,2466,3458,3261
39,7.622,415.30606,5461,6284,7022,4498,6251,8871,15,7660,3791,6224,4574,3904,4513,7561
40,0.986,418.29721,2236,1734,1364,1206,2623,1501,3513,2424,1649,2329,3070,2754,2148,1961
41,8.419,426.35925,6022,7864,4029,3095,5877,6285,222,5343,6101,3699,4330,4316,3742,7380
42,14.371,429.37213,25754,21112,33175,13068,31903,14556,15778,23145,25400,17796,17933,23445,29508,20329
43,7.673,437.2883,2007,3416,2587,1152,2287,5068,22,2563,1916,1427,1217,1279,1238,4427
44,1.761,445.28018,2182,9296,2016,3601,4564,5590,1468,3994,3978,1176,2374,4576,2769,9507
45,5.213,454.29446,348,549,1830,1138,1639,723,3488,937,646,654,774,832,1102,769
46,4.939,454.29465,1119,2004,1830,2360,127,2513,74,2318,1231,1452,2617,1898,2155,1963
47,1.756,462.3074,3322,12882,2493,4484,5461,7179,1911,5267,5602,1636,3221,5514,3970,12876
48,11.546,463.37695,1187,831,764,1422,1011,523,88,1153,1815,509,529,836,872,642
49,10.775,466.33014,544,140,1648,862,2581,598,1841,683,1578,1632,173,1108,1497,812
50,2.191,468.30902,7422,1297,1659,1092,1080,2151,1991,1727,1535,1267,2311,3301,4099,1088
51,11.364,469.39038,1065,2252,243,767,569,716,674,1073,680,470,702,1514,482,1965
52,11.746,474.37714,2455,391,4826,166,2370,354,1710,442,2019,98,166,1434,106,1268
53,3.455,478.29282,812,1022,7478,7668,5658,3614,12720,16202,7150,5595,3643,4478,8338,5705
54,3.285,478.2933,2382,3591,7478,7668,5658,9549,1699,16202,7150,5595,3643,4478,8338,5705
55,11.746,479.33179,1784,487,3213,145,1557,543,1306,537,1225,188,121,745,115,2424
56,6.02,480.30927,800,367,5722,2154,3656,1183,8503,3287,2395,1298,607,736,1548,1120
57,5.716,480.3107,4163,1994,5722,7200,561,4826,302,11498,5788,2897,2608,1637,3802,2773
58,6.664,480.3443,1785,1792,5065,3704,6701,2745,5976,3036,2741,4289,1889,4404,5563,3535
59,6.57,480.34436,2317,2621,5065,7009,6701,3584,2152,5485,2741,4289,3665,4404,5563,3535
60,6.648,481.34802,456,435,1588,1019,1814,847,1480,1649,818,1142,1068,863,1485,1067
61,9.406,482.32468,3994,4210,4496,4172,1175,4922,144,4931,2975,2434,3455,3525,4311,4128
62,9.637,482.32581,1375,860,4496,1836,4290,1212,6258,2022,2975,970,1069,3525,4311,1857
63,6.673,482.36035,2520,4768,2240,4380,2706,4069,950,3607,1758,4040,2563,3638,4217,3654
64,6.91,482.36069,2174,2610,3232,2523,6117,2015,4197,2798,1678,4160,2280,3556,3384,2443
65,4.767,488.32001,17065,12859,31936,4313,21252,8468,615,13419,9409,9986,14540,20558,20946,35371
