Spearman_Cor,Pearson_Cor,RSD_PAPH,norm_diff_PA_PH_median,Label
0.978021978,0.981686889,0.042613849,0.117950604,1
0.956043956,0.988034101,0.030003477,0.097418123,1
0.964835165,0.991856129,0.091578995,0.311180327,1
0.986813187,0.992978268,0.033021101,0.126368717,1
0.985699166,0.995991412,0.034837302,0.104654411,1
0.92967033,0.970116522,0.207596538,0.81173153,0
0.973626374,0.994411772,0.027578007,0.093232134,1
0.921892747,0.967995466,0.091672313,0.29642465,0
0.995604396,0.995227794,0.030613941,0.118336242,1
0.986813187,0.982508317,0.047557813,0.162066144,1
0.995604396,0.983327403,0.071902794,0.217206194,1
0.956043956,0.985431161,0.040491322,0.149691997,1
0.982417582,0.986992329,0.039073866,0.137108732,1
0.96043956,0.955773505,0.070194884,0.265541036,1
0.995604396,0.989360128,0.035198906,0.139969383,1
0.938461538,0.994496354,0.43340691,1.227662384,0
0.991208791,0.995794087,0.025217973,0.085039511,1
0.947252747,0.982367897,0.042985823,0.146039463,1
0.991208791,0.994137487,0.030725769,0.111529125,1
0.912087912,0.998835146,0.443737083,1.759053062,0
0.973626374,0.998154216,0.055639091,0.178414551,0
0.982417582,0.999403457,0.437888537,1.402437226,0
1,0.999600221,0.19192341,0.70506317,0
0.991208791,0.996745247,0.147073861,0.499103041,0
0.973626374,0.987624573,0.392650434,1.382202933,0
1,0.995572974,0.407998352,1.314852275,0
1,0.999305087,0.197811296,0.760740529,0
0.991208791,0.995119857,0.180095154,0.72412075,0
1,0.994967763,0.423918728,1.442108664,0
0.70989011,0.868165638,0.299338452,0.891483241,0
0.991208791,0.998885448,0.023670779,0.094617252,1
0.982417582,0.996628933,0.238870914,0.928791284,0
0.951648352,0.978464715,0.063848515,0.227160169,1
0.969230769,0.982855657,0.274163157,1.002895063,0
0.951648352,0.985960486,0.797764369,3.560150058,0
0.868131868,0.987722883,0.298229184,0.796574157,0
0.964835165,0.985094238,0.615804872,2.404352559,0
0.978021978,0.995480437,0.019932734,0.071979999,1
0.907692308,0.940638252,0.180610475,0.6219664,0
0.995604396,0.995627847,0.035802479,0.137849736,1
0.969230769,0.993891261,0.251775723,0.935373098,0
0.995604396,0.997528954,0.026099182,0.086239531,1
0.969230769,0.972960336,0.20072351,0.779006283,0
1,0.995279898,0.056367798,0.186949732,1
0.978021978,0.979041191,0.561819021,2.015679551,0
0.956043956,0.979112431,0.381537115,0.929681637,0
0.982417582,0.996794691,0.050677184,0.160269998,1
0.96043956,0.988567088,0.267952408,1.114014139,0
0.978021978,0.977435518,0.548002623,1.328466253,0
0.969230769,0.958868138,0.243336038,1.041737255,0
0.964835165,0.97116446,0.263496724,0.96086367,0
0.990099609,0.990734917,0.525636532,1.972530917,0
0.978021978,0.989227419,0.365743538,0.936476409,0
0.973626374,0.990625668,0.269238351,0.826044013,0
0.96043956,0.990354286,0.587676295,1.410884808,0
0.92967033,0.956055988,0.814290716,3.638122146,0
0.995604396,0.997402643,0.331138329,0.876658229,0
0.956043956,0.910804102,0.630660524,0.990035723,0
0.956043956,0.932112717,0.495079963,0.933376567,0
0.854945055,0.849467343,0.512870036,1.310761036,0
0.995604396,0.992947126,0.33382338,0.968181698,0
0.995604396,0.986539729,0.450617999,1.514964838,0
0.894505495,0.853857823,0.56435912,1.657444474,0
0.520879121,0.86004958,0.680478983,2.525998814,0
0.973626374,0.98911505,0.153199512,0.736258129,0
0.969230769,0.985685315,0.242306391,1.185328663,0
0.995604396,0.971270209,0.509028049,1.18536786,0
0.995604396,0.988982109,0.334116315,0.920115894,0
0.986813187,0.994082132,0.367983413,1.015053958,0
0.934065934,0.917458491,0.408922422,0.984943126,0
0.520879121,0.868817236,0.370078909,1.119114167,0
0.991208791,0.993098619,0.043916554,0.158613949,1
0.991208791,0.972040366,0.310633021,0.805054455,0
0.969230769,0.99399437,0.248606829,0.983719703,0
0.859340659,0.964509432,0.941977668,5.103432473,0
0.978021978,0.986939848,0.332490747,0.865061478,0
0.956043956,0.942641046,0.356131846,1.044429937,0
0.947252747,0.97968783,0.819504034,3.363532898,0
0.973626374,0.985996052,0.067476927,0.226264053,1
0.982417582,0.990626152,0.051704648,0.195951152,1
0.969230769,0.993212314,0.113828632,0.361179421,0
0.916483516,0.961648058,0.04241431,0.165847173,1
0.982417582,0.98144964,0.289602444,0.816212314,0
0.898901099,0.908748512,0.328066016,0.94015071,0
0.995604396,0.98253376,0.580112644,1.825728597,0
0.964835165,0.935424156,0.591116443,0.923159736,0
0.991208791,0.991824571,0.334368174,0.981563174,0
0.973626374,0.987071887,0.058524185,0.251752363,1
0.991208791,0.988822833,0.203719826,0.743365516,0
0.771428571,0.873782017,0.166490701,0.63862597,0
0.951648352,0.977739698,0.077113018,0.30202207,1
0.859340659,0.955633449,0.587944659,2.124221551,0
0.982417582,0.978308818,0.775890228,3.41657618,0
0.991208791,0.997283623,0.033628621,0.115856412,1
0.978021978,0.98907349,0.440072084,1.022890696,0
0.979098502,0.988039264,0.267375977,1.024251556,0
0.991208791,0.996534162,0.034204382,0.111380392,1
0.986813187,0.992778635,0.061769911,0.238628206,1
0.986813187,0.989726622,0.032805371,0.126528831,1
0.995604396,0.997482,0.024133759,0.097056516,1
0.986813187,0.989458277,0.522025605,0.889705231,0
0.995604396,0.993625147,0.065605612,0.215701498,1
0.995604396,0.990699685,0.528419165,1.911620025,0
1,0.998393954,0.029534303,0.122587544,1
0.973626374,0.991359987,0.046687059,0.130274286,1
0.964835165,0.994086988,0.524507367,1.434179914,0
1,0.997615616,0.023797196,0.079612746,1
0.982417582,0.996941375,0.039007399,0.12171037,1
0.982417582,0.988668417,0.039176735,0.159456983,1
0.995604396,0.995520735,0.02452561,0.08202687,1
0.995604396,0.997533825,0.1440496,0.563196403,0
0.942857143,0.959000994,0.045557034,0.167948663,0
0.995604396,0.997907113,0.127683838,0.4980857,0
0.991208791,0.99506082,0.128515541,0.510805049,0
0.978021978,0.957737151,0.101406532,0.350638329,1
0.951648352,0.976013157,0.06849338,0.229358433,1
0.673267734,0.661647118,0.338845315,0.774437077,0
0.995604396,0.996205373,0.120746933,0.474622932,0
0.982417582,0.987808358,0.319284104,0.764051242,0
0.982417582,0.997096484,0.0278337,0.091807858,1
0.942857143,0.984211618,0.046638252,0.160447986,1
0.986813187,0.963523086,0.212422688,0.851722119,0
0.763736264,0.86164308,0.405731252,1.012562463,0
0.991208791,0.951143637,0.227272858,0.65662438,0
0.995604396,0.983740283,0.388069239,1.205825738,0
0.986813187,0.996884514,0.081857675,0.288783087,1
0.973626374,0.995454572,0.046131673,0.173005104,1
0.995604396,0.998027396,0.032363401,0.119190652,1
0.995604396,0.998049515,0.031156655,0.119190652,1
0.969230769,0.982484078,0.066815755,0.262037334,1
0.991208791,0.998971864,0.181667892,0.532197105,0
0.991208791,0.998981324,0.1376758,0.531247935,0
0.925274725,0.960041686,0.169727313,0.735765495,0
0.907692308,0.960169012,0.244101113,0.893304815,0
0.920879121,0.994278164,0.261300862,0.645947406,0
0.912087912,0.900030064,0.204650921,0.934963775,0
0.969230769,0.992632243,0.031712006,0.102233901,1
0.995604396,0.966665034,0.565751297,2.184825121,0
0.995604396,0.997153679,0.150257536,0.575401387,0
1,0.998896346,0.304117549,0.594795271,0
1,0.997041094,0.231661278,0.647494553,0
0.995604396,0.997930378,0.026506711,0.075853447,1
0.986813187,0.981956925,0.036145698,0.12500841,1
1,0.999193856,0.031481851,0.098600335,1
0.973626374,0.998811629,0.030931729,0.094601513,0
0.978021978,0.998241048,0.058124546,0.16700811,1
0.978021978,0.997904314,0.034500201,0.15145424,1
0.986813187,0.998766929,0.190449544,0.560851888,0
0.995604396,0.998192338,0.136574791,0.527588161,0
0.964835165,0.984021471,0.051193984,0.153037523,1
0.973626374,0.998849868,0.019298842,0.059497539,1
0.969230769,0.984284127,0.037771966,0.131462486,1
0.995604396,0.997749583,0.027559994,0.085425464,1
1,0.999093598,0.037713723,0.123306194,1
0.661538462,0.687342477,0.605568944,1.575481823,0
0.582417582,0.658281465,0.41018094,0.884738409,0
0.972497838,0.993757292,0.0458427,0.171368182,1
0.995604396,0.994305002,0.028307353,0.080948644,1
0.973626374,0.991273433,0.239302655,0.733696016,0
0.942857143,0.967797288,0.407398469,0.966658025,0
0.969230769,0.945456072,0.337864315,0.797205139,0
0.964835165,0.981111214,0.080109692,0.268690366,1
0.969230769,0.990221416,0.238089889,0.963522274,0
0.925274725,0.982550531,0.037523145,0.12700003,1
0.938461538,0.931705685,0.213564854,0.872090824,0
0.934065934,0.701836209,0.486279427,2.165508965,0
0.947252747,0.955941226,0.041771676,0.136222925,1
0.832967033,0.924587637,0.216252441,0.861856231,0
0.96043956,0.986302731,0.07320437,0.266448933,1
0.986813187,0.996776479,0.022471619,0.065969188,1
0.824175824,0.800806164,0.602787949,1.508221146,0
0.995604396,0.999465978,0.01046271,0.035336006,0
0.586813187,0.493356939,0.509781308,0.924898934,0
1,0.999126161,0.040829463,0.187453192,1
0.978021978,0.98493365,0.039029235,0.141993486,1
0.978021978,0.976577799,0.058931093,0.24468659,1
0.995604396,0.997973035,0.022371174,0.068988953,1
0.986813187,0.973942929,0.033243006,0.106997362,1
0.938461538,0.947210378,0.061622307,0.19331623,1
0.969230769,0.970879474,0.039273904,0.158678647,1
