Spearman_Cor,Pearson_Cor,RSD_PAPH,norm_diff_PA_PH_median,Label
0.857142857,0.982778057,0.292300809,0.82803465,0
0.642857143,0.941873312,0.193973038,0.542672347,0
0.964285714,0.968365613,0.098147417,0.262455373,1
0.964285714,0.863564243,0.106790586,0.314215309,1
0.035714286,0.060854241,0.372577632,1.243848111,0
0.214285714,-0.017395239,0.273549978,0.898915184,0
1,0.984437805,0.321637998,0.874148027,0
0.857142857,0.993179282,0.427690866,1.210442014,0
0.785714286,0.943770224,0.111716612,0.359065889,0
0.928571429,0.956242937,0.119065673,0.336236263,0
0.964285714,0.995574822,0.533059603,0.923258999,0
0.392857143,0.224256022,0.49833834,1.372364045,0
0.964285714,0.851481816,0.271716786,0.566487547,0
0.821428571,0.9679716,0.033308814,0.089063279,1
0.928571429,0.993537559,0.060906072,0.15745002,1
0.964285714,0.986104385,0.037195049,0.116989176,1
0.964285714,0.991356586,0.033479699,0.083139168,1
0.964285714,0.957108344,0.325296737,1.085001235,0
0.964285714,0.946826071,0.609550405,2.079978191,0
0.821428571,0.994543322,0.208170887,0.53085572,0
0.75,0.869162723,0.207543003,0.551333117,0
0.785714286,0.844566422,0.543031599,1.815653435,0
0.75,0.774648531,0.362183916,1.037706258,0
0.964285714,0.991991338,0.037775547,0.106461406,1
0.964285714,0.953923673,0.047116718,0.122820399,1
0.642857143,0.985519743,0.234258299,0.584153971,0
0.964285714,0.993280036,0.566113692,1.672260497,0
0.75,0.839118993,0.151312017,0.435055466,0
0.821428571,0.91828813,0.133590233,0.439207596,0
0.892857143,0.967569772,0.082236288,0.196990889,1
0.964285714,0.980852008,0.069428719,0.203119768,1
0.607142857,0.81467201,0.156652493,0.396412808,0
0.964285714,0.930919984,0.211280344,0.591543571,0
1,0.995149085,0.022452563,0.061840654,1
1,0.997510021,0.018642774,0.055156261,1
0.892857143,0.972255133,0.037434597,0.092994327,1
1,0.997564931,0.048984211,0.135817328,1
0.964285714,0.894939416,0.160296166,0.508409875,0
0.928571429,0.976364922,0.276347909,0.734808963,0
0.642857143,0.831081892,0.496163653,1.756840368,0
0.857142857,0.937021629,0.491994407,1.937505006,0
0.642857143,0.612970516,0.20207783,0.490106334,0
0.928571429,0.915040998,0.174082847,0.508559393,0
0.571428571,0.41507754,0.29414027,0.935163659,0
0.714285714,0.51571339,0.213241649,0.643571081,0
0.607142857,0.777596203,0.137833338,0.383553842,0
0.821428571,0.840987368,0.290543569,0.819787455,0
0.678571429,0.840167385,0.154715911,0.396347572,0
0.928571429,0.98677852,0.443442283,0.851273859,0
0.857142857,0.94296366,0.089471855,0.267439114,1
0.928571429,0.953472635,0.223945618,0.63314877,0
0.714285714,0.773011814,0.212277707,0.608631177,0
0.928571429,0.963311254,0.478577448,1.084054545,0
1,0.999314975,0.007043106,0.019298588,1
0.964285714,0.999059565,0.021560858,0.05516202,1
1,0.99997017,0.018394573,0.056339071,1
1,0.999566298,0.019308589,0.049521111,1
0.964285714,0.995780755,0.305600687,0.976207341,0
1,0.965129883,0.953537333,4.114832014,0
-0.214285714,-0.153998025,0.16818052,0.492833521,0
0.607142857,0.600917459,0.326367491,0.840537868,0
0.964285714,0.998812236,0.02228056,0.06876601,1
0.964285714,0.991953795,0.024592199,0.078667673,1
